Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Varicose vein surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,16135,378648,0.000918329061518488,0.121597721625107,,,categorical-20004-both_sexes-1479-
Headaches (not migraine),20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3318,391465,0.000926740463498401,-0.272311952031746,,,categorical-20002-both_sexes-1436-
Throat or larynx disorder,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,359,394424,0.0009517964991942,-0.796605423517482,,,categorical-20002-both_sexes-1414-
"Forced vital capacity (FVC), Best measure",20151,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,297213,,0.000953355077218587,-0.0195772151931661,,,continuous-20151-both_sexes--irnt
Weighted-mean OD in tract forceps major,25687,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.00100895849631656,-0.117794231913705,,,continuous-25687-both_sexes--irnt
Portion size,100010,continuous,,Online follow-up > Diet by 24-hour recall > Typical diet yesterday,,56026,,0.00101305336066098,-0.0276551034846525,,,continuous-100010-both_sexes--
Mean ISOVF in corticospinal tract on FA skeleton (left),25447,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.00109674185847804,0.116894984785318,,,continuous-25447-both_sexes--irnt
I73 Other peripheral vascular diseases,131386,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,8311,386530,0.00109679091739489,0.171623753778428,,,icd_first_occurrence-131386-both_sexes--
Atorvastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,11874,382909,0.00129143351759053,0.140207886767652,,,categorical-20003-both_sexes-1141146234-
H44.4 Examination of rectum under anaesthetic,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,703,394138,0.00133583701855186,-0.578790775227661,,,categorical-41200-both_sexes-H444-
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones",6153,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,37077,175556,0.00144150937036748,0.0832912205597654,,,categorical-6153-both_sexes-2-
Vitamin B12,100013,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.00151254748619923,-0.0599754921798736,,,continuous-100013-both_sexes--irnt
NAFLD custom,NAFLD_custom,categorical,,Health-related outcomes > Hepatobiliary,,4282,385089,0.00169873522052315,0.226755425684024,,,categorical-NAFLD_custom-both_sexes--custom
HGSadjHtWt custom,HGSadjHtWt_custom,continuous,,,,392236,,0.00172321855247656,-0.0217204390699274,,,continuous-HGSadjHtWt_custom-both_sexes--custom
Vitamin D,100021,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.00179218896567215,-0.0595130227212868,,,continuous-100021-both_sexes--irnt
SHBG,30830,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,341779,,0.00198465575812618,-0.0215084429689018,,,continuous-30830-both_sexes--irnt
Lisinopril,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,11069,383714,0.00213598530050903,0.139273590149351,,,categorical-20003-both_sexes-1140860696-
Birth weight known,120,categorical,,UK Biobank Assessment Centre > Verbal interview > Early life factors,,224079,170704,0.00221543459405793,-0.0499933533125991,,,categorical-120-both_sexes-1-
"Forced expiratory volume in 1-second (FEV1), predicted percentage",20154,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,127146,,0.00224712164120608,-0.0432461267700248,,,continuous-20154-both_sexes--irnt
"Forced expiratory volume in 1-second (FEV1), Best measure",20150,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,297213,,0.00243748706169771,-0.0186054547797754,,,continuous-20150-both_sexes--irnt
S08.2 Curettage and cauterisation of lesion of skin NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,226,394615,0.00296263281355597,-0.906914038546845,,,categorical-41210-both_sexes-S082-
Posterior thigh lean muscle volume (left),22406,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5099,,0.00306008396183391,0.11977497147405,,,continuous-22406-both_sexes--irnt
High light scatter reticulocyte count,30300,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.00323707008713298,-0.0219853182814194,,,continuous-30300-both_sexes--irnt
I21 Acute myocardial infarction,131298,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,14839,380002,0.00324657554950926,0.114724257103064,,,icd_first_occurrence-131298-both_sexes--
Alcohol dependency,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,586,394197,0.00326609042419837,0.611325908684224,,,categorical-20002-both_sexes-1408-
Retinol,100018,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,54350,,0.00341120255588557,-0.0569224672417451,,,continuous-100018-both_sexes--irnt
Ever addicted to any substance or behaviour,20401,categorical,,Online follow-up > Mental health > Addictions,,7518,119350,0.00351165782045532,0.160606710220973,,,categorical-20401-both_sexes--
WBfatfreemass female custom,WBfatfreemass_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210155,,0.00358714973285622,0.0332905406409221,,,continuous-WBfatfreemass_female_custom-females--custom
Mean MD in fornix cres+stria terminalis on FA skeleton (left),25143,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.00363934813935714,0.096557566883716,,,continuous-25143-both_sexes--irnt
Weighted-mean L1 in tract superior longitudinal fasciculus (left),25590,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.00378072943660338,0.101940747900016,,,continuous-25590-both_sexes--irnt
Coronary angioplasty (ptca) +/- stent,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,4145,390638,0.00390872119539413,0.21120590581875,,,categorical-20004-both_sexes-1070-
Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left),25479,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.00409952432525944,0.0941895534188704,,,continuous-25479-both_sexes--irnt
fat free mass index female custom,fat_free_mass_index_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,209946,,0.00443948832926942,0.0338171983597028,,,continuous-fat_free_mass_index_female_custom-females--custom
L87.1 Stripping of long saphenous vein,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3136,391705,0.00445592689513266,0.242906387054161,,,categorical-41210-both_sexes-L871-
Met minutes walking,Met_minutes_walking,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores,,320034,,0.00468236705258229,0.0236065762343883,,,continuous-Met_minutes_walking-both_sexes--custom
"E87 Other disorders of fluid, electrolyte and acid-base balance",130828,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,9106,385735,0.00475686496738878,0.142315667317105,,,icd_first_occurrence-130828-both_sexes--
Total thigh muscle volume,22409,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5055,,0.00480536696304091,0.111385768020666,,,continuous-22409-both_sexes--irnt
M29.2 Endoscopic insertion of tubal prosthesis into ureter NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,660,394181,0.00480619023235186,-0.526501094058943,,,categorical-41210-both_sexes-M292-
appendicularFFMI female custom,appendicularFFMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210019,,0.00482077558049018,0.0326156115614175,,,continuous-appendicularFFMI_female_custom-females--custom
N40 Hyperplasia of prostate,132072,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,20778,160450,0.00482529386518246,-0.0969160117826983,,,icd_first_occurrence-132072-both_sexes--
Stress,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,450,394333,0.00519165026425323,-0.609943942661426,,,categorical-20002-both_sexes-1614-
G62 Other polyneuropathies,131086,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,2692,392149,0.00528119515076684,0.254099791381008,,,icd_first_occurrence-131086-both_sexes--
N81 Female genital prolapse,132124,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,14453,199160,0.00557096869136975,-0.111975671882086,,,icd_first_occurrence-132124-both_sexes--
glucose NMR,glucose_NMR,continuous,,Biological samples > Assay results > Blood assays > Biological samples > NMR metabolomics,,94796,,0.00557429739299553,0.0417385292389286,,,continuous-glucose_NMR-both_sexes--custom
hand grip strength custom,hand_grip_strength_custom,continuous,,,,393068,,0.00557821727690655,-0.0142769872401399,,,continuous-hand_grip_strength_custom-both_sexes--custom
Y16.2 Anastomosis of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,364,394477,0.00581435448974427,-0.674734838641228,,,categorical-41210-both_sexes-Y162-
Quetiapine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,226,394557,0.00593669296728213,-0.8586474919529,,,categorical-20003-both_sexes-1141152848-
Eosinophill percentage,30210,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382770,,0.00621888887144927,0.0202643489795261,,,continuous-30210-both_sexes--irnt
hip circ female custom,hip_circ_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213227,,0.00622164716408425,0.0315195352602858,,,continuous-hip_circ_female_custom-females--custom
S06.3 Shave excision of lesion of skin of head or neck,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,663,394178,0.00624681256076961,-0.509424393472796,,,categorical-41200-both_sexes-S063-
Trunk fat-free mass,23129,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387653,,0.00628632266143133,0.0124486023125147,,,continuous-23129-both_sexes--irnt
Cinnarizine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,210,394573,0.00635147383342271,0.88576455364937,,,categorical-20003-both_sexes-1140883524-
Q51 Congenital malformations of uterus and cervix,132518,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,251,213362,0.00640286614116433,-0.820402840936952,,,icd_first_occurrence-132518-both_sexes--
Amlodipine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,16022,378761,0.00643275368026172,0.102596078729015,,,categorical-20003-both_sexes-1140879802-
Triglycerides,30870,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376509,,0.00647895972037292,-0.01969776988472,,,continuous-30870-both_sexes--irnt
ratio glucose lactate,ratio_glucose_lactate,continuous,,Biological samples > Assay results > Blood assays > Biological samples > NMR metabolomics,,94716,,0.00662695201773295,0.0407788860346914,,,continuous-ratio_glucose_lactate-both_sexes--custom
"Diastolic blood pressure, automated reading",4079,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,372555,,0.0066613472517035,0.0202287465410376,,,continuous-4079-both_sexes--irnt
Mean L3 in posterior corona radiata on FA skeleton (right),25322,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.00666854694078285,0.0914700447170729,,,continuous-25322-both_sexes--irnt
Z07.1 Spinal nerve root of cervical spine,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,367,394474,0.0067969757233137,-0.661772915096317,,,categorical-41210-both_sexes-Z071-
Maximum workload during fitness test,6032,continuous,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,59226,,0.0068251810806198,-0.0390899594674331,,,continuous-6032-both_sexes--irnt
Testosterone,30850,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,341317,,0.00703847549023279,0.013126122834874,,,continuous-30850-both_sexes--irnt
W40.1 Primary total prosthetic replacement of knee joint using cement,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8058,386783,0.00711332786201773,0.141702093420971,,,categorical-41200-both_sexes-W401-
Y38.9 Unspecified injection of therapeutic substance into organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,205,394636,0.00721238684249459,-0.856155891777793,,,categorical-41210-both_sexes-Y389-
Total peripheral resistance during PWA,12685,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,20276,,0.0073825279994118,-0.0826343440961321,,,continuous-12685-both_sexes--irnt
